 time            v(vin)          v(vmem)        
 1.03824696e-02  9.07827325e-01  4.97950474e-03 
 1.04381393e-02  9.37066110e-01  4.99271230e-03 
 1.04880487e-02  1.06798461e+00  5.00458993e-03 
 1.05333246e-02  1.01024476e+00  5.01532593e-03 
 1.05655605e-02  8.82463301e-01  5.02300018e-03 
 1.05968222e-02  1.02311749e+00  5.03040187e-03 
 1.06250010e-02  9.76626577e-01  5.03710664e-03 
 1.06703861e-02  1.01518421e+00  5.04787098e-03 
 1.07136463e-02  9.47869417e-01  5.05816130e-03 
 1.07789450e-02  1.00760846e+00  5.07364572e-03 
 1.08539467e-02  9.95002872e-01  5.09147015e-03 
 1.09539467e-02  1.06903471e+00  5.11519338e-03 
 1.10539467e-02  1.01501362e+00  5.13894822e-03 
 1.11410760e-02  9.33441083e-01  5.15961785e-03 
 1.12063090e-02  8.86042428e-01  5.17511291e-03 
 1.12577248e-02  9.94186224e-01  5.18730048e-03 
 1.13120538e-02  9.79978520e-01  5.20021870e-03 
 1.13585392e-02  9.08497806e-01  5.21123584e-03 
 1.14021903e-02  9.85649061e-01  5.22160221e-03 
 1.14512625e-02  9.65313717e-01  5.23322700e-03 
 1.15257255e-02  1.10374386e+00  5.25091382e-03 
 1.16257255e-02  1.08062135e+00  5.27461909e-03 
 1.17009857e-02  1.06734865e+00  5.29249114e-03 
 1.17814766e-02  1.02434921e+00  5.31156612e-03 
 1.18450321e-02  9.27397098e-01  5.32666189e-03 
 1.18974856e-02  1.14824534e+00  5.33908391e-03 
 1.19447408e-02  1.03634300e+00  5.35030353e-03 
 1.20069087e-02  1.12691286e+00  5.36503306e-03 
 1.20740426e-02  1.12671956e+00  5.38097836e-03 
 1.21116125e-02  9.00904630e-01  5.38986921e-03 
 1.21512101e-02  9.77304178e-01  5.39927421e-03 
 1.21784219e-02  1.05279059e+00  5.40571266e-03 
 1.22076712e-02  1.03838418e+00  5.41266523e-03 
 1.22353007e-02  9.48210455e-01  5.41919441e-03 
 1.22626332e-02  9.74967106e-01  5.42569300e-03 
 1.22917538e-02  1.03574896e+00  5.43258408e-03 
 1.23187024e-02  1.01866207e+00  5.43898698e-03 
 1.23582393e-02  1.05647204e+00  5.44834249e-03 
 1.24180336e-02  1.04968313e+00  5.46253649e-03 
 1.25117479e-02  1.12787605e+00  5.48474188e-03 
 1.26117479e-02  1.10439317e+00  5.50846335e-03 
 1.27117479e-02  1.08960185e+00  5.53213830e-03 
 1.28117479e-02  1.16621940e+00  5.55585267e-03 
 1.29117479e-02  1.11646269e+00  5.57952793e-03 
 1.30117479e-02  1.13524305e+00  5.60323750e-03 
 1.31117479e-02  1.00605970e+00  5.62691018e-03 
 1.32117479e-02  1.13613848e+00  5.65061689e-03 
 1.33033655e-02  1.01007938e+00  5.67229642e-03 
 1.34033655e-02  9.50937123e-01  5.69599906e-03 
 1.34699956e-02  1.09663001e+00  5.71176144e-03 
 1.35317292e-02  1.12381031e+00  5.72639650e-03 
 1.35749541e-02  1.04027590e+00  5.73662043e-03 
 1.36162439e-02  1.05250676e+00  5.74641353e-03 
 1.36679522e-02  9.49958279e-01  5.75864029e-03 
 1.37094238e-02  1.09691094e+00  5.76847908e-03 
 1.37472100e-02  1.04747636e+00  5.77740692e-03 
 1.38119577e-02  1.13837611e+00  5.79275462e-03 
 1.38673495e-02  1.10842245e+00  5.80585388e-03 
 1.39669360e-02  1.17191153e+00  5.82944070e-03 
 1.40669360e-02  1.07775102e+00  5.85309270e-03 
 1.41669360e-02  1.02879437e+00  5.87678028e-03 
 1.42487639e-02  1.05714570e+00  5.89612287e-03 
 1.43388844e-02  1.00006378e+00  5.91746784e-03 
 1.44388844e-02  1.05494719e+00  5.94111643e-03 
 1.45388844e-02  1.07674004e+00  5.96478729e-03 
 1.46388844e-02  1.05606365e+00  5.98843251e-03 
 1.47388844e-02  8.37281893e-01  6.01210609e-03 
 1.48064685e-02  1.13740608e+00  6.02807476e-03 
 1.48703544e-02  1.12689617e+00  6.04320163e-03 
 1.49089296e-02  1.16895638e+00  6.05230446e-03 
 1.49492834e-02  9.77258757e-01  6.06186471e-03 
 1.49871758e-02  1.09892171e+00  6.07081218e-03 
 1.50222913e-02  9.56441214e-01  6.07913532e-03 
 1.50703818e-02  1.16059412e+00  6.09048924e-03 
 1.51147453e-02  1.05557172e+00  6.10099073e-03 
 1.51617439e-02  1.12102240e+00  6.11208974e-03 
 1.52322933e-02  1.08155965e+00  6.12879180e-03 
 1.53179162e-02  1.05515268e+00  6.14901167e-03 
 1.54059568e-02  1.15824406e+00  6.16984715e-03 
 1.54906731e-02  1.03351585e+00  6.18986109e-03 
 1.55906731e-02  1.10805558e+00  6.21350756e-03 
 1.56906731e-02  1.11336853e+00  6.23712076e-03 
 1.57906731e-02  1.10808988e+00  6.26076780e-03 
 1.58906731e-02  1.07740470e+00  6.28438230e-03 
 1.59906731e-02  1.02875915e+00  6.30802508e-03 
 1.60906731e-02  1.07065338e+00  6.33163147e-03 
 1.61906731e-02  1.05825585e+00  6.35526870e-03 
 1.62906731e-02  1.09427330e+00  6.37887284e-03 
 1.63906731e-02  1.04389811e+00  6.40250740e-03 
 1.64906731e-02  1.09608890e+00  6.42609838e-03 
 1.65906731e-02  9.99022590e-01  6.44973296e-03 
 1.66906731e-02  1.09298718e+00  6.47333065e-03 
 1.67906731e-02  1.04536193e+00  6.49695117e-03 
 1.68906731e-02  1.14294857e+00  6.52053515e-03 
 1.69906731e-02  1.15539748e+00  6.54415481e-03 
 1.70906731e-02  1.14902138e+00  6.56774413e-03 
 1.71906731e-02  1.06013579e+00  6.59136420e-03 
 1.72771059e-02  1.17726796e+00  6.61173463e-03 
 1.73702201e-02  1.04193494e+00  6.63373046e-03 
 1.74702201e-02  1.00425991e+00  6.65731108e-03 
 1.75613760e-02  8.95965880e-01  6.67882702e-03 
 1.76503395e-02  1.02292662e+00  6.69979989e-03 
 1.77448189e-02  1.02379998e+00  6.72209518e-03 
 1.78448189e-02  1.15186048e+00  6.74566735e-03 
 1.79448189e-02  1.63890194e+00  6.76927418e-03 
 1.79729095e-02  1.76277643e+00  6.77587971e-03 
 1.79846877e-02  1.81072184e+00  6.77867352e-03 
 1.79917355e-02  1.77991281e+00  6.78031828e-03 
 1.79974746e-02  1.75482470e+00  6.78168880e-03 
 1.80036836e-02  1.74580215e+00  6.78313563e-03 
 1.80161017e-02  1.75260229e+00  6.78608024e-03 
 1.80409378e-02  1.69288952e+00  6.79192299e-03 
 1.80753200e-02  1.57705858e+00  6.80004481e-03 
 1.81374306e-02  1.19518277e+00  6.81466982e-03 
 1.82067020e-02  9.96273691e-01  6.83101726e-03 
 1.82734944e-02  9.63563341e-01  6.84674230e-03 
 1.83331839e-02  9.86207786e-01  6.86083499e-03 
 1.83927286e-02  1.09237267e+00  6.87486082e-03 
 1.83944814e-02  1.11451265e+00  6.87528234e-03 
 1.83979871e-02  1.15879261e+00  6.87610860e-03 
 1.84049984e-02  1.12563449e+00  6.87776226e-03 
 1.84122281e-02  1.04089837e+00  6.87946725e-03 
 1.84236804e-02  9.68938711e-01  6.88216478e-03 
 1.84324304e-02  1.01442080e+00  6.88422573e-03 
 1.84434428e-02  1.04129371e+00  6.88682328e-03 
 1.84550263e-02  9.99326586e-01  6.88955521e-03 
 1.84596180e-02  9.82690849e-01  6.89063695e-03 
 1.84599641e-02  9.81437025e-01  6.89071839e-03 
 1.84606563e-02  9.85743370e-01  6.89088143e-03 
 1.84614962e-02  9.91421796e-01  6.89107930e-03 
 1.84618892e-02  9.94078006e-01  6.89117182e-03 
 1.84621536e-02  9.95865612e-01  6.89123412e-03 
 1.84623241e-02  9.97018275e-01  6.89127429e-03 
 1.84625283e-02  9.98398876e-01  6.89132241e-03 
 1.84625515e-02  9.98555579e-01  6.89132787e-03 
 1.84625979e-02  9.98868984e-01  6.89133878e-03 
 1.84626906e-02  9.99495794e-01  6.89136063e-03 
 1.84627224e-02  9.99710842e-01  6.89136813e-03 
 1.84627240e-02  9.99721748e-01  6.89136851e-03 
 1.84627273e-02  9.99743559e-01  6.89136927e-03 
 1.84627337e-02  9.99787181e-01  6.89137079e-03 
 1.84627402e-02  9.99830914e-01  6.89137232e-03 
 1.84627438e-02  9.99855411e-01  6.89137317e-03 
 1.84627461e-02  9.99870654e-01  6.89137370e-03 
 1.84627475e-02  9.99880404e-01  6.89137404e-03 
 1.84627489e-02  9.99890061e-01  6.89137438e-03 
 1.84627499e-02  9.99896862e-01  6.89137461e-03 
 1.84627511e-02  9.99904738e-01  6.89137489e-03 
 1.84627519e-02  9.99910443e-01  6.89137509e-03 
 1.84627529e-02  9.99916903e-01  6.89137531e-03 
 1.84627538e-02  9.99923227e-01  6.89137553e-03 
 1.84627550e-02  9.99930896e-01  6.89137580e-03 
 1.84627572e-02  9.99946235e-01  6.89137633e-03 
 1.84627607e-02  9.99969434e-01  6.89137714e-03 
 1.84627649e-02  9.99998073e-01  6.89137814e-03 
 1.84627695e-02  1.00002929e+00  6.89137923e-03 
 1.84627746e-02  1.00006334e+00  6.89138042e-03 
 1.84627809e-02  1.00010627e+00  6.89138191e-03 
 1.84627836e-02  1.00012430e+00  6.89138254e-03 
 1.84627854e-02  1.00013636e+00  6.89138296e-03 
 1.84627869e-02  1.00014675e+00  6.89138333e-03 
 1.84627881e-02  1.00015451e+00  6.89138360e-03 
 1.84627892e-02  1.00016215e+00  6.89138386e-03 
 1.84627902e-02  1.00016876e+00  6.89138409e-03 
 1.84627910e-02  1.00017471e+00  6.89138430e-03 
 1.84627920e-02  1.00018124e+00  6.89138453e-03 
 1.84627927e-02  1.00018568e+00  6.89138468e-03 
 1.84627934e-02  1.00019060e+00  6.89138486e-03 
 1.84627945e-02  1.00019822e+00  6.89138512e-03 
 1.84627962e-02  1.00020956e+00  6.89138552e-03 
 1.84627985e-02  1.00022500e+00  6.89138605e-03 
 1.84628010e-02  1.00024228e+00  6.89138666e-03 
 1.84628034e-02  1.00025819e+00  6.89138721e-03 
 1.84628065e-02  1.00027922e+00  6.89138795e-03 
 1.84628105e-02  1.00030609e+00  6.89138888e-03 
 1.84628175e-02  1.00035384e+00  6.89139055e-03 
 1.84628278e-02  1.00042297e+00  6.89139296e-03 
 1.84628429e-02  1.00052540e+00  6.89139653e-03 
 1.84628598e-02  1.00063949e+00  6.89140050e-03 
 1.84628734e-02  1.00073120e+00  6.89140370e-03 
 1.84628857e-02  1.00081454e+00  6.89140660e-03 
 1.84628982e-02  1.00089938e+00  6.89140956e-03 
 1.84629116e-02  1.00098944e+00  6.89141270e-03 
 1.84629241e-02  1.00107406e+00  6.89141565e-03 
 1.84629366e-02  1.00115842e+00  6.89141859e-03 
 1.84629486e-02  1.00123979e+00  6.89142142e-03 
 1.84629608e-02  1.00132245e+00  6.89142430e-03 
 1.84629728e-02  1.00140359e+00  6.89142713e-03 
