 time            v(vin)          v(vdata)       
 7.85194475e-03  8.84718353e-01  2.06666206e+00 
 7.86660015e-03  8.75272161e-01  2.07229632e+00 
 7.89131157e-03  9.22573710e-01  2.08076099e+00 
 7.91367991e-03  8.85183400e-01  2.08807392e+00 
 7.94992614e-03  8.98682972e-01  2.09586186e+00 
 8.02241860e-03  8.38953214e-01  2.09261849e+00 
 8.11764715e-03  7.87429771e-01  2.06037001e+00 
 8.18044130e-03  9.26360222e-01  2.05538731e+00 
 8.24188597e-03  9.43174285e-01  2.09149004e+00 
 8.29343857e-03  9.43020465e-01  2.12585392e+00 
 8.34998115e-03  9.06835766e-01  2.13806655e+00 
 8.41003580e-03  8.58827498e-01  2.12265665e+00 
 8.47324405e-03  8.97176592e-01  2.09781571e+00 
 8.54187807e-03  9.16585049e-01  2.09096306e+00 
 8.61439752e-03  8.72225061e-01  2.09224710e+00 
 8.69092285e-03  9.10170318e-01  2.08589756e+00 
 8.79092285e-03  8.90016214e-01  2.08390892e+00 
 8.89092285e-03  9.59104942e-01  2.09453527e+00 
 8.99092285e-03  9.35833262e-01  2.10817294e+00 
 9.09092285e-03  8.61449666e-01  2.08865479e+00 
 9.16405133e-03  1.05050545e+00  2.08267899e+00 
 9.23267923e-03  9.54450490e-01  2.11160764e+00 
 9.28082826e-03  9.14427821e-01  2.11687603e+00 
 9.33114706e-03  1.00768475e+00  2.10650843e+00 
 9.38039175e-03  9.62576615e-01  2.10543165e+00 
 9.42616804e-03  9.89928981e-01  2.10604890e+00 
 9.49883146e-03  9.87173263e-01  2.10317018e+00 
 9.59883146e-03  1.03664456e+00  2.10593208e+00 
 9.68547863e-03  9.93892860e-01  2.10501455e+00 
 9.77477071e-03  8.89501490e-01  2.07098164e+00 
 9.86125144e-03  8.75249691e-01  2.01890763e+00 
 9.94734460e-03  8.67666613e-01  1.99636633e+00 
 1.00240929e-02  9.95481874e-01  2.02421476e+00 
 1.00988434e-02  8.84018266e-01  2.06362689e+00 
 1.01694659e-02  9.20697801e-01  2.06862941e+00 
 1.02247875e-02  1.06613451e+00  2.07913409e+00 
 1.02764299e-02  9.73796429e-01  2.10921932e+00 
 1.03295318e-02  9.71258683e-01  2.12084978e+00 
 1.03824696e-02  9.07827325e-01  2.10558300e+00 
 1.04381393e-02  9.37066110e-01  2.08197420e+00 
 1.04880487e-02  1.06798461e+00  2.08155793e+00 
 1.05333246e-02  1.01024476e+00  2.10350671e+00 
 1.05655605e-02  8.82463301e-01  2.11165999e+00 
 1.05968222e-02  1.02311749e+00  2.10733800e+00 
 1.06250010e-02  9.76626577e-01  2.10401623e+00 
 1.06703861e-02  1.01518421e+00  2.10292283e+00 
 1.07136463e-02  9.47869417e-01  2.09953868e+00 
 1.07789450e-02  1.00760846e+00  2.08989559e+00 
 1.08539467e-02  9.95002872e-01  2.08770204e+00 
 1.09539467e-02  1.06903471e+00  2.10253707e+00 
 1.10539467e-02  1.01501362e+00  2.11011546e+00 
 1.11410760e-02  9.33441083e-01  2.08049809e+00 
 1.12063090e-02  8.86042428e-01  2.03779506e+00 
 1.12577248e-02  9.94186224e-01  2.01965153e+00 
 1.13120538e-02  9.79978520e-01  2.03310906e+00 
 1.13585392e-02  9.08497806e-01  2.04651607e+00 
 1.14021903e-02  9.85649061e-01  2.04814891e+00 
 1.14512625e-02  9.65313717e-01  2.05500130e+00 
 1.15257255e-02  1.10374386e+00  2.08796854e+00 
 1.16257255e-02  1.08062135e+00  2.14297346e+00 
 1.17009857e-02  1.06734865e+00  2.15009382e+00 
 1.17814766e-02  1.02434921e+00  2.11929265e+00 
 1.18450321e-02  9.27397098e-01  2.08113076e+00 
 1.18974856e-02  1.14824534e+00  2.06188064e+00 
 1.19447408e-02  1.03634300e+00  2.07329951e+00 
 1.20069087e-02  1.12691286e+00  2.09699556e+00 
 1.20740426e-02  1.12671956e+00  2.11821895e+00 
 1.21116125e-02  9.00904630e-01  2.11972099e+00 
 1.21512101e-02  9.77304178e-01  2.09859009e+00 
 1.21784219e-02  1.05279059e+00  2.07973730e+00 
 1.22076712e-02  1.03838418e+00  2.06787290e+00 
 1.22353007e-02  9.48210455e-01  2.06051469e+00 
 1.22626332e-02  9.74967106e-01  2.04995145e+00 
 1.22917538e-02  1.03574896e+00  2.04099924e+00 
 1.23187024e-02  1.01866207e+00  2.04062176e+00 
 1.23582393e-02  1.05647204e+00  2.04904177e+00 
 1.24180336e-02  1.04968313e+00  2.06733756e+00 
 1.25117479e-02  1.12787605e+00  2.09710109e+00 
 1.26117479e-02  1.10439317e+00  2.11831253e+00 
 1.27117479e-02  1.08960185e+00  2.10643676e+00 
 1.28117479e-02  1.16621940e+00  2.09610959e+00 
 1.29117479e-02  1.11646269e+00  2.10361020e+00 
 1.30117479e-02  1.13524305e+00  2.09087969e+00 
 1.31117479e-02  1.00605970e+00  2.05382374e+00 
 1.32117479e-02  1.13613848e+00  2.03302357e+00 
 1.33033655e-02  1.01007938e+00  2.04185488e+00 
 1.34033655e-02  9.50937123e-01  2.01631568e+00 
 1.34699956e-02  1.09663001e+00  2.00571768e+00 
 1.35317292e-02  1.12381031e+00  2.04593962e+00 
 1.35749541e-02  1.04027590e+00  2.07534841e+00 
 1.36162439e-02  1.05250676e+00  2.08094419e+00 
 1.36679522e-02  9.49958279e-01  2.06549630e+00 
 1.37094238e-02  1.09691094e+00  2.05231215e+00 
 1.37472100e-02  1.04747636e+00  2.05505115e+00 
 1.38119577e-02  1.13837611e+00  2.08008777e+00 
 1.38673495e-02  1.10842245e+00  2.10443394e+00 
 1.39669360e-02  1.17191153e+00  2.12974839e+00 
 1.40669360e-02  1.07775102e+00  2.12118582e+00 
 1.41669360e-02  1.02879437e+00  2.07496214e+00 
 1.42487639e-02  1.05714570e+00  2.04256057e+00 
 1.43388844e-02  1.00006378e+00  2.03724473e+00 
 1.44388844e-02  1.05494719e+00  2.04417324e+00 
 1.45388844e-02  1.07674004e+00  2.07132988e+00 
 1.46388844e-02  1.05606365e+00  2.09059962e+00 
 1.47388844e-02  8.37281893e-01  2.04904249e+00 
 1.48064685e-02  1.13740608e+00  2.02171425e+00 
 1.48703544e-02  1.12689617e+00  2.05969490e+00 
 1.49089296e-02  1.16895638e+00  2.10211493e+00 
 1.49492834e-02  9.77258757e-01  2.12938851e+00 
 1.49871758e-02  1.09892171e+00  2.13172544e+00 
 1.50222913e-02  9.56441214e-01  2.12104337e+00 
 1.50703818e-02  1.16059412e+00  2.10808527e+00 
 1.51147453e-02  1.05557172e+00  2.11016834e+00 
 1.51617439e-02  1.12102240e+00  2.11591020e+00 
 1.52322933e-02  1.08155965e+00  2.11662188e+00 
 1.53179162e-02  1.05515268e+00  2.10121860e+00 
 1.54059568e-02  1.15824406e+00  2.09544206e+00 
 1.54906731e-02  1.03351585e+00  2.10371844e+00 
 1.55906731e-02  1.10805558e+00  2.08910197e+00 
 1.56906731e-02  1.11336853e+00  2.08966248e+00 
 1.57906731e-02  1.10808988e+00  2.09832893e+00 
 1.58906731e-02  1.07740470e+00  2.08233473e+00 
 1.59906731e-02  1.02875915e+00  2.05482109e+00 
 1.60906731e-02  1.07065338e+00  2.04239603e+00 
 1.61906731e-02  1.05825585e+00  2.05717658e+00 
 1.62906731e-02  1.09427330e+00  2.07422953e+00 
 1.63906731e-02  1.04389811e+00  2.07712787e+00 
 1.64906731e-02  1.09608890e+00  2.07442965e+00 
 1.65906731e-02  9.99022590e-01  2.06732250e+00 
 1.66906731e-02  1.09298718e+00  2.06176058e+00 
 1.67906731e-02  1.04536193e+00  2.07535035e+00 
 1.68906731e-02  1.14294857e+00  2.09618326e+00 
 1.69906731e-02  1.15539748e+00  2.12400758e+00 
 1.70906731e-02  1.14902138e+00  2.13384916e+00 
 1.71906731e-02  1.06013579e+00  2.09880018e+00 
 1.72771059e-02  1.17726796e+00  2.07695718e+00 
 1.73702201e-02  1.04193494e+00  2.07755016e+00 
 1.74702201e-02  1.00425991e+00  2.04325594e+00 
 1.75613760e-02  8.95965880e-01  1.98839477e+00 
 1.76503395e-02  1.02292662e+00  1.97797439e+00 
 1.77448189e-02  1.02379998e+00  2.03020763e+00 
 1.78448189e-02  1.15186048e+00  2.10260512e+00 
 1.79448189e-02  1.63890194e+00  2.21324998e+00 
 1.79729095e-02  1.76277643e+00  2.20074318e+00 
 1.79846877e-02  1.81072184e+00  2.22599780e+00 
 1.79917355e-02  1.77991281e+00  2.24131536e+00 
 1.79974746e-02  1.75482470e+00  2.25383915e+00 
 1.80036836e-02  1.74580215e+00  2.26749144e+00 
 1.80161017e-02  1.75260229e+00  2.29493411e+00 
 1.80409378e-02  1.69288952e+00  2.35022521e+00 
 1.80753200e-02  1.57705858e+00  2.42452475e+00 
 1.81374306e-02  1.19518277e+00  2.49327007e+00 
 1.82067020e-02  9.96273691e-01  2.45090914e+00 
 1.82734944e-02  9.63563341e-01  2.35394532e+00 
 1.83331839e-02  9.86207786e-01  2.25932252e+00 
 1.83927286e-02  1.09237267e+00  2.17146878e+00 
 1.83944814e-02  1.11451265e+00  2.16914385e+00 
 1.83979871e-02  1.15879261e+00  2.16462975e+00 
 1.84049984e-02  1.12563449e+00  2.15631811e+00 
 1.84122281e-02  1.04089837e+00  2.14858430e+00 
 1.84236804e-02  9.68938711e-01  2.13690558e+00 
 1.84324304e-02  1.01442080e+00  2.12809651e+00 
 1.84434428e-02  1.04129371e+00  2.11762980e+00 
 1.84550263e-02  9.99326586e-01  2.10816501e+00 
 1.84596180e-02  9.82690849e-01  2.10547584e+00 
 1.84599641e-02  9.81437025e-01  2.10536445e+00 
 1.84606563e-02  9.85743370e-01  2.10522461e+00 
 1.84614962e-02  9.91421796e-01  2.10535986e+00 
 1.84618892e-02  9.94078006e-01  2.10568344e+00 
 1.84621536e-02  9.95865612e-01  2.10622756e+00 
 1.84623241e-02  9.97018275e-01  2.10703047e+00 
 1.84625283e-02  9.98398876e-01  2.10905204e+00 
 1.84625515e-02  9.98555579e-01  2.10935845e+00 
 1.84625979e-02  9.98868984e-01  2.10995026e+00 
 1.84626906e-02  9.99495794e-01  2.11106583e+00 
 1.84627224e-02  9.99710842e-01  2.11150810e+00 
 1.84627240e-02  9.99721748e-01  2.11153399e+00 
 1.84627273e-02  9.99743559e-01  2.11158672e+00 
 1.84627337e-02  9.99787181e-01  2.11169931e+00 
 1.84627402e-02  9.99830914e-01  2.11182534e+00 
 1.84627438e-02  9.99855411e-01  2.11190397e+00 
 1.84627461e-02  9.99870654e-01  2.11195733e+00 
 1.84627475e-02  9.99880404e-01  2.11199453e+00 
 1.84627489e-02  9.99890061e-01  2.11203565e+00 
 1.84627499e-02  9.99896862e-01  2.11206647e+00 
 1.84627511e-02  9.99904738e-01  2.11209860e+00 
 1.84627519e-02  9.99910443e-01  2.11212308e+00 
 1.84627529e-02  9.99916903e-01  2.11215045e+00 
 1.84627538e-02  9.99923227e-01  2.11217844e+00 
 1.84627550e-02  9.99930896e-01  2.11221304e+00 
 1.84627572e-02  9.99946235e-01  2.11228802e+00 
 1.84627607e-02  9.99969434e-01  2.11242072e+00 
